Project,Title,Priority,Labels,Description,AcceptanceCriteria
"Estabilizacion","Cerrar la suite de tests rota tras los cambios recientes","P1","tests;stabilization;quality","Hoy `npm run typecheck` pasa pero `npm run test` falla en strategy, agents, execution-context, session, provider-metadata, cost-summary, intake-express y settings-page-content. Resolver regresiones y dejar el baseline automatizado consistente.","`npm run test` termina en verde; no se agregan skips para ocultar fallos reales; el log final deja identificados los cambios que ajustaron runtime vs tests."
"Frontend","Retirar mockups de las rutas activas de producto","P1","frontend;cleanup;mockups","Las rutas activas ya no montan componentes mockup; queda cerrar la limpieza de nombres y separar cualquier resto historico o de debug del camino principal.","Ninguna ruta de producto importa componentes `Mockup*`; el naming de las superficies activas refleja producto y no maqueta; `npm run typecheck` sigue pasando."
"Frontend","Completar la navegacion canonica dashboard -> /plan -> /plan/v5","P1","frontend;navigation;build-v6","Cerrar la integracion entre dashboard, build guiado y visor persistido para que el usuario normal entre por `/plan` y no por configuraciones avanzadas.","El camino simple sale de dashboard hacia `/plan`; `/settings` queda como preparacion avanzada; el handoff final abre `/plan/v5?planId=...`; hay verificacion manual del recorrido."
"Repo y docs","Regularizar planes, scripts y referencias huerfanas","P1","cleanup;docs;scripts","`docs/plans/pipeline-visualizer-v1` ya fue normalizado en el registry; quedan por revisar otros historicos y referencias de V5 en docs, prompts y notas antiguas.","No quedan planes activos fuera de `docs/plans/REGISTRY.json`; `package.json` no expone comandos muertos; no quedan referencias operativas a scripts inexistentes."
"Deploy","Alinear el contrato real de deploy y dejar `doctor:deploy` util","P1","deploy;vercel;docs","`doctor:deploy` ya valida base cloud, secretos y timeout de rutas largas. Alinear docs y config para que el contrato de preview/produccion quede claro y no prometa acciones locales como si fueran automaticas.","`npm run doctor:deploy` falla solo por configuracion ausente real o pasa completamente en un entorno cloud valido; README y docs de deploy no prometen pasos que el codigo no hace."
"Auth y settings","Cerrar hardening de auth, sesiones y settings para produccion","P2","auth;settings;security","Ya existen auth routes, vault backup y helpers de password/session, pero faltan cerrar bordes de produccion y consistencia de tests. Consolidar secretos, sesiones y comportamiento en settings.","Las rutas de auth y vault quedan cubiertas por tests actualizados; `SESSION_SECRET` y `API_KEY_ENCRYPTION_SECRET` forman parte del contrato operativo; no hay regresiones en login, sesion ni claim de datos."
"Pipeline v6","Cerrar la paridad de la migracion a XState sin romper SSE ni resume","P2","pipeline-v6;xstate;orchestrator","Ya existe `src/lib/pipeline/v6/xstate/` y el orquestador consume piezas nuevas, pero la migracion no esta cerrada y todavia hay fallos de pipeline/tests. Terminar la paridad interna preservando el borde observable.","`POST /api/plan/build` y `POST /api/plan/build/resume` mantienen compatibilidad; los eventos SSE principales no cambian; pause/resume sigue funcionando; la suite de tests del pipeline queda en verde."
"Performance","Medir y reducir la latencia de navegacion principal","P2","performance;navigation;nextjs","Instrumentar el baseline y cortar waterfalls en `/`, `/intake`, `/plan`, `/plan/v5` y `/settings`, incluyendo shell global, auth duplicada y bundles pesados.","Existe una tabla before/after; se reducen round-trips de bootstrap; las rutas principales cargan mas rapido en navegacion real; las validaciones requeridas siguen en verde."
"Debug","Endurecer `/api/debug` y `/api/debug/snapshot`","P2","debug;api;hardening","El progreso operativo marca estas rutas como robustas solo de forma parcial. Falta hardening de contrato, errores y lectura visible.","Las rutas responden con errores controlados y observables; existe evidencia visible en inspector/debug panel; si se tocan `app/api/` se ejecuta `npm run build`."
"QA","Ejecutar un smoke E2E cloud intake -> build -> dashboard","P2","qa;e2e;vercel","La readiness para Vercel sigue sin evidencia E2E real con provider cloud. Montar un smoke que cubra el recorrido principal fuera del entorno local/mockeado.","Existe un smoke reproducible contra provider cloud; se documenta el resultado y prerequisitos; el flujo principal queda cubierto de punta a punta."
"UX","Completar auditoria de accesibilidad y mobile","P2","accessibility;mobile;ux","Hoy hay scaffolding responsive y algunas mejoras, pero no una auditoria exhaustiva de accesibilidad y uso mobile. Convertirlo en trabajo verificable.","Se corrigen hallazgos WCAG prioritarios; hay evidencia visible en rutas principales; los cambios de UI respetan i18n y copy abuela-proof."
"Producto","Implementar Gate inicial con objetivos libres e intake dinamico","P3","product-flow;llm;intake","El flujo hibrido vigente todavia no tiene gate obligatorio, input libre de objetivos ni intake dinamico por bloques. Reemplazar el intake fijo por la primera etapa del flujo real.","Existe un paso inicial obligatorio; el usuario puede escribir objetivos libres; el intake se adapta con preguntas generadas/encadenadas; el estado se puede reanudar."
"Producto","Agregar plan de alto nivel y reality check antes de las tareas diarias","P3","product-flow;planning;ux","Hoy el builder tiende a generar el plan completo de una. Incorporar una etapa estrategica y otra de chequeo de realidad antes del calendario ejecutable.","El sistema produce un plan alto nivel con fases/dependencias; existe chequeo de realidad con trade-offs y conflictos; el usuario confirma antes de bajar a detalle diario."
"Producto","Cerrar simulacion iterativa, presentacion visual e integracion de calendario","P3","product-flow;simulation;calendar","Faltan la simulacion iterativa completa, una presentacion visual fuerte y la integracion de calendario existente/top-down. Convertir estas piezas en etapas del producto y no en gaps de arquitectura.","La simulacion puede iterar con correcciones; el plan se presenta visualmente de forma navegable; se puede importar calendario existente o mapear disponibilidad; queda evidencia visible del flujo."
